module_num,time_per_module
1,14.06000000000000000000
2,11.51000000000000000000
3,9.24666666666666666666
4,7.56500000000000000000
5,7.82800000000000000000
6,7.09666666666666666666
7,7.02000000000000000000
8,7.99500000000000000000
9,7.11555555555555555555
10,7.51400000000000000000
11,6.48363636363636363636
12,6.96166666666666666666
13,6.74923076923076923076
14,7.07857142857142857142
15,6.53466666666666666666
16,6.27750000000000000000
17,7.03176470588235294117
18,6.05888888888888888888
19,6.52842105263157894736
20,6.77700000000000000000
21,6.53904761904761904761
22,6.17363636363636363636
23,6.34608695652173913043
24,6.04916666666666666666
25,6.35600000000000000000
26,6.16769230769230769230
27,6.45703703703703703703
28,6.04857142857142857142
29,6.14965517241379310344
30,6.40000000000000000000
31,6.42903225806451612903
32,6.40812500000000000000
33,5.89696969696969696969
34,5.97000000000000000000
35,6.09028571428571428571
36,6.32833333333333333333
37,6.21297297297297297297
38,6.15105263157894736842
39,6.23743589743589743589
40,6.04050000000000000000
41,6.36146341463414634146
42,6.18571428571428571428
43,6.24837209302325581395
44,5.98227272727272727272
45,5.92400000000000000000
46,5.83347826086956521739
47,5.85489361702127659574
48,6.17916666666666666666
49,6.06571428571428571428
50,6.37120000000000000000
51,5.98156862745098039215
52,6.16615384615384615384
53,5.93924528301886792452
54,5.81888888888888888888
55,6.06000000000000000000
56,6.12000000000000000000
57,6.17473684210526315789
58,6.04551724137931034482
59,5.89050847457627118644
60,5.89133333333333333333
61,6.06229508196721311475
62,5.83903225806451612903
63,6.02952380952380952380
64,5.68000000000000000000
65,5.59353846153846153846
66,5.69454545454545454545
67,5.42268656716417910447
68,5.39705882352941176470
69,5.66202898550724637681
70,5.54257142857142857142
71,5.66676056338028169014
72,5.81361111111111111111
73,5.65369863013698630136
74,5.36702702702702702702
75,5.74560000000000000000
76,5.55157894736842105263
77,5.92597402597402597402
78,6.15871794871794871794
79,5.71518987341772151898
80,5.85975000000000000000
81,5.45432098765432098765
82,5.41878048780487804878
83,5.58433734939759036144
84,5.65952380952380952380
85,5.87176470588235294117
86,5.50279069767441860465
87,5.86275862068965517241
88,5.81454545454545454545
89,6.07191011235955056179
90,6.18177777777777777777
91,5.94373626373626373626
92,5.79521739130434782608
93,5.88688172043010752688
94,5.89723404255319148936
95,5.92589473684210526315
96,5.71645833333333333333
97,6.10742268041237113402
98,6.11877551020408163265
99,5.99050505050505050505
100,6.16660000000000000000
